code,category,family,status,fetched_at
AMZW,Trading--Miscellaneous,Roundhill Investments,ok,2026-07-19T07:07:58+00:00
AMZY,Derivative Income,YieldMax ETFs,ok,2026-07-19T07:07:58+00:00
AMZZ,Trading--Leveraged Equity,Graniteshares,ok,2026-07-19T07:07:58+00:00
ANEL,Trading--Leveraged Equity,Defiance ETFs LLC,ok,2026-07-19T07:07:59+00:00
ANEW,Large Growth,ProShares,ok,2026-07-19T07:07:59+00:00
ANGL,High Yield Bond,VanEck,ok,2026-07-19T07:07:59+00:00
ANV,Derivative Income,Graniteshares,ok,2026-07-19T07:07:59+00:00
AOA,Global Moderately Aggressive Allocation,iShares,ok,2026-07-19T07:07:59+00:00
AOCT,Defined Outcome,Innovator ETFs,ok,2026-07-19T07:07:59+00:00
AOHY,High Yield Bond,Angel Oak,ok,2026-07-19T07:07:59+00:00
AOM,Global Moderately Conservative Allocation,iShares,ok,2026-07-19T07:08:00+00:00
AOR,Global Moderate Allocation,iShares,ok,2026-07-19T07:08:00+00:00
AOK,Global Conservative Allocation,iShares,ok,2026-07-19T07:08:00+00:00
AOTG,Technology,AOT Invest LLC,ok,2026-07-19T07:08:00+00:00
AOTS,,,empty,2026-07-19T07:08:00+00:00
APCB,Intermediate Core-Plus Bond,Active Passive Funds,ok,2026-07-19T07:08:00+00:00
APHG,Trading--Leveraged Equity,Themes ETF Trust,ok,2026-07-19T07:08:00+00:00
APDB,Defined Outcome,APTUS ETFs,ok,2026-07-19T07:08:01+00:00
APHU,Trading--Leveraged Equity,Rex,ok,2026-07-19T07:08:01+00:00
APIE,Foreign Large Blend,Active Passive Funds,ok,2026-07-19T07:08:01+00:00
APLX,Trading--Leveraged Equity,AXS,ok,2026-07-19T07:08:01+00:00
APLU,Intermediate Core-Plus Bond,Allspring Global Investments,ok,2026-07-19T07:08:01+00:00
APLY,Derivative Income,YieldMax ETFs,ok,2026-07-19T07:08:01+00:00
APLZ,Trading--Inverse Equity,AXS,ok,2026-07-19T07:08:01+00:00
APMU,Muni National Interm,Active Passive Funds,ok,2026-07-19T07:08:02+00:00
APMI,Trading--Leveraged Equity,Corgi Funds,ok,2026-07-19T07:08:02+00:00
APOC,Defined Outcome,Innovator ETFs,ok,2026-07-19T07:08:02+00:00
APPC,Trading--Leveraged Equity,Corgi Funds,ok,2026-07-19T07:08:02+00:00
APPX,Trading--Leveraged Equity,AXS,ok,2026-07-19T07:08:02+00:00
APRB,Defined Outcome,APTUS ETFs,ok,2026-07-19T07:08:02+00:00
APRJ,Defined Outcome,Innovator ETFs,ok,2026-07-19T07:08:02+00:00
APRH,Defined Outcome,Innovator ETFs,ok,2026-07-19T07:08:02+00:00
APRP,Defined Outcome,PGIM,ok,2026-07-19T07:08:03+00:00
APRW,Defined Outcome,AllianzIM,ok,2026-07-19T07:08:03+00:00
APRT,Defined Outcome,AllianzIM,ok,2026-07-19T07:08:03+00:00
APRZ,Defined Outcome,TrueShares,ok,2026-07-19T07:08:03+00:00
APUE,Large Blend,Active Passive Funds,ok,2026-07-19T07:08:03+00:00
APXM,Defined Outcome,First Trust,ok,2026-07-19T07:08:03+00:00
AQLG,Large Growth,Argent,ok,2026-07-19T07:08:04+00:00
AQEC,Large Blend,ARLINGTON PARTNERS LLC,ok,2026-07-19T07:08:04+00:00
AQLT,Global Large-Stock Blend,iShares,ok,2026-07-19T07:08:04+00:00
AQWA,Natural Resources,Global X Funds,ok,2026-07-19T07:08:04+00:00
ARB,Event Driven,AltShares,ok,2026-07-19T07:08:04+00:00
ARCM,Ultrashort Bond,ArrowShares,ok,2026-07-19T07:08:04+00:00
ARCX,Trading--Leveraged Equity,AXS,ok,2026-07-19T07:08:04+00:00
ARGT,Focused Region,Global X Funds,ok,2026-07-19T07:08:04+00:00
ARKB,Digital Assets,21Shares US LLC,ok,2026-07-19T07:08:05+00:00
ARKD,Defined Outcome,ARK ETF Trust,ok,2026-07-19T07:08:05+00:00
ARKE,Defined Outcome,ARK ETF Trust,ok,2026-07-19T07:08:05+00:00
ARKF,Technology,ARK ETF Trust,ok,2026-07-19T07:08:05+00:00
ARKG,Health,ARK ETF Trust,ok,2026-07-19T07:08:05+00:00
ARKK,Technology,ARK ETF Trust,ok,2026-07-19T07:08:05+00:00
ARKQ,Mid-Cap Growth,ARK ETF Trust,ok,2026-07-19T07:08:05+00:00
ARKT,Defined Outcome,ARK ETF Trust,ok,2026-07-19T07:08:05+00:00
ARKX,Technology,ARK ETF Trust,ok,2026-07-19T07:08:06+00:00
ARKW,Mid-Cap Growth,ARK ETF Trust,ok,2026-07-19T07:08:06+00:00
ARLI,Defined Outcome,AllianzIM,ok,2026-07-19T07:08:06+00:00
ARLU,Defined Outcome,AllianzIM,ok,2026-07-19T07:08:06+00:00
ARMG,Trading--Leveraged Equity,Themes ETF Trust,ok,2026-07-19T07:08:06+00:00
ARMA,Trading--Leveraged Equity,Corgi Funds,ok,2026-07-19T07:08:06+00:00
ARMH,Technology,ADRH,ok,2026-07-19T07:08:07+00:00
ARMW,Trading--Miscellaneous,Roundhill Investments,ok,2026-07-19T07:08:07+00:00
ARMY,Industrials,Tema ETFs,ok,2026-07-19T07:08:07+00:00
ARP,Tactical Allocation,PMV CAPITAL,ok,2026-07-19T07:08:07+00:00
ARTY,Technology,iShares,ok,2026-07-19T07:08:07+00:00
ARVR,Technology,First Trust,ok,2026-07-19T07:08:07+00:00
ARWG,Large Growth,Archer,ok,2026-07-19T07:08:07+00:00
ASCE,Small Blend,Allspring Global Investments,ok,2026-07-19T07:08:07+00:00
ASCI,Foreign Small/Mid Growth,Aberdeen,ok,2026-07-19T07:08:08+00:00
ASD,Health,Defiance ETFs LLC,ok,2026-07-19T07:08:08+00:00
ASEA,Pacific/Asia ex-Japan Stk,Global X Funds,ok,2026-07-19T07:08:08+00:00
ASGM,Macro Trading,Virtus,ok,2026-07-19T07:08:08+00:00
ASHS,Greater China Region,Xtrackers,ok,2026-07-19T07:08:08+00:00
ASHR,Greater China Region,Xtrackers,ok,2026-07-19T07:08:08+00:00
ASLV,Large Value,Allspring Global Investments,ok,2026-07-19T07:08:08+00:00
ASIA,Pacific/Asia ex-Japan Stk,Matthews Asia Funds,ok,2026-07-19T07:08:08+00:00
ASMF,Systematic Trend,Virtus,ok,2026-07-19T07:08:09+00:00
ASMH,Technology,ADRH,ok,2026-07-19T07:08:09+00:00
ASMG,Trading--Leveraged Equity,Themes ETF Trust,ok,2026-07-19T07:08:09+00:00
ASMU,Trading--Leveraged Equity,Direxion Funds,ok,2026-07-19T07:08:09+00:00
ASTG,Trading--Leveraged Equity,Themes ETF Trust,ok,2026-07-19T07:08:09+00:00
ASMZ,Trading--Leveraged Equity,Corgi Funds,ok,2026-07-19T07:08:09+00:00
ASTN,Trading--Inverse Equity,Defiance ETFs LLC,ok,2026-07-19T07:08:09+00:00
ASTT,Trading--Leveraged Equity,Corgi Funds,ok,2026-07-19T07:08:10+00:00
ASTX,Trading--Leveraged Equity,AXS,ok,2026-07-19T07:08:10+00:00
ASTY,Trading--Leveraged Equity,Defiance ETFs LLC,ok,2026-07-19T07:08:10+00:00
ASUP,Trading--Leveraged Equity,Rex,ok,2026-07-19T07:08:10+00:00
ATC,Derivative Income,Graniteshares,ok,2026-07-19T07:08:10+00:00
ATCL,,,empty,2026-07-19T07:08:10+00:00
ATFV,Large Growth,Alger,ok,2026-07-19T07:08:10+00:00
ATTR,Long-Short Equity,Arin Risk Advisors LLC,ok,2026-07-19T07:08:11+00:00
ATMP,Energy Limited Partnership,Barclays,ok,2026-07-19T07:08:11+00:00
AUAU,,,empty,2026-07-19T07:08:11+00:00
AUGM,Defined Outcome,First Trust,ok,2026-07-19T07:08:11+00:00
AUGP,Defined Outcome,PGIM,ok,2026-07-19T07:08:11+00:00
AUGT,Defined Outcome,AllianzIM,ok,2026-07-19T07:08:11+00:00
AUGU,Defined Outcome,AllianzIM,ok,2026-07-19T07:08:11+00:00
AUGW,Defined Outcome,AllianzIM,ok,2026-07-19T07:08:12+00:00
AUGZ,Defined Outcome,TrueShares,ok,2026-07-19T07:08:12+00:00
AUMI,Equity Precious Metals,Themes ETF Trust,ok,2026-07-19T07:08:12+00:00
AUSM,Muni National Short,Allspring Global Investments,ok,2026-07-19T07:08:12+00:00
AUSF,Mid-Cap Value,Global X Funds,ok,2026-07-19T07:08:12+00:00
AV,Industrials,Corgi Funds,ok,2026-07-19T07:08:12+00:00
AVAZ,Digital Assets,Volatility Shares LLC,ok,2026-07-19T07:08:12+00:00
AVDE,Foreign Large Blend,Avantis Investors,ok,2026-07-19T07:08:12+00:00
AVDS,Foreign Small/Mid Blend,Avantis Investors,ok,2026-07-19T07:08:13+00:00
AVDV,Foreign Small/Mid Value,Avantis Investors,ok,2026-07-19T07:08:13+00:00
AVEE,Diversified Emerging Mkts,Avantis Investors,ok,2026-07-19T07:08:13+00:00
AVEM,Diversified Emerging Mkts,Avantis Investors,ok,2026-07-19T07:08:13+00:00
AVES,Diversified Emerging Mkts,Avantis Investors,ok,2026-07-19T07:08:13+00:00
AVGB,Global Bond-USD Hedged,Avantis Investors,ok,2026-07-19T07:08:13+00:00
AVGC,Trading--Leveraged Equity,Corgi Funds,ok,2026-07-19T07:08:13+00:00
AVGE,Global Large-Stock Blend,Avantis Investors,ok,2026-07-19T07:08:13+00:00
AVGG,Trading--Leveraged Equity,Themes ETF Trust,ok,2026-07-19T07:08:14+00:00
AVGU,Trading--Leveraged Equity,Graniteshares,ok,2026-07-19T07:08:14+00:00
AVGV,Global Small/Mid Stock,Avantis Investors,ok,2026-07-19T07:08:14+00:00
AVGW,Trading--Miscellaneous,Roundhill Investments,ok,2026-07-19T07:08:14+00:00
AVGX,Trading--Leveraged Equity,Defiance ETFs LLC,ok,2026-07-19T07:08:14+00:00
AVIE,Large Value,Avantis Investors,ok,2026-07-19T07:08:14+00:00
AVIG,Intermediate Core Bond,Avantis Investors,ok,2026-07-19T07:08:14+00:00
AVL,Trading--Leveraged Equity,Direxion Funds,ok,2026-07-19T07:08:15+00:00
AVIV,Foreign Large Value,Avantis Investors,ok,2026-07-19T07:08:15+00:00
AVLC,Large Blend,Avantis Investors,ok,2026-07-19T07:08:15+00:00
AVLV,Large Value,Avantis Investors,ok,2026-07-19T07:08:15+00:00
AVMA,Moderate Allocation,Avantis Investors,ok,2026-07-19T07:08:15+00:00
AVMU,Muni National Interm,Avantis Investors,ok,2026-07-19T07:08:15+00:00
AVMC,Mid-Cap Blend,Avantis Investors,ok,2026-07-19T07:08:15+00:00
AVMV,Mid-Cap Value,Avantis Investors,ok,2026-07-19T07:08:16+00:00
AVNM,Foreign Large Blend,Avantis Investors,ok,2026-07-19T07:08:16+00:00
AVNV,Foreign Large Value,Avantis Investors,ok,2026-07-19T07:08:16+00:00
AVOS,Global Large-Stock Blend,"Avos Capital Management, LLC",ok,2026-07-19T07:08:16+00:00
AVRE,Global Real Estate,Avantis Investors,ok,2026-07-19T07:08:16+00:00
AVRY,Large Blend,Avory Funds,ok,2026-07-19T07:08:16+00:00
AVS,Trading--Inverse Equity,Direxion Funds,ok,2026-07-19T07:08:16+00:00
AVSC,Small Value,Avantis Investors,ok,2026-07-19T07:08:16+00:00
AVSD,Foreign Large Blend,Avantis Investors,ok,2026-07-19T07:08:17+00:00
AVSE,Diversified Emerging Mkts,Avantis Investors,ok,2026-07-19T07:08:17+00:00
AVSF,Short-Term Bond,Avantis Investors,ok,2026-07-19T07:08:17+00:00
AVSU,Large Blend,Avantis Investors,ok,2026-07-19T07:08:17+00:00
AVTM,Global Large-Stock Blend,Avantis Investors,ok,2026-07-19T07:08:17+00:00
AVUQ,Large Growth,Avantis Investors,ok,2026-07-19T07:08:17+00:00
