code,name,issuer,index,market,leverage,hedge
447660,PLUS 애플채권혼합,PLUS,KR_MIXED_STOCK_BOND,KR,1.0,none
0021D0,ACE TDF2030액티브,ACE,TDF,KR,1.0,none
239660,PLUS 우량회사채50,PLUS,KR_CORPORATE,KR,1.0,none
0013P0,RISE 미국은행TOP10,RISE,US_FINANCIALS,US,1.0,unhedged
289040,KODEX MSCI KOREA ESG유니버설,KODEX,KOSPI200,KR,1.0,none
291130,ACE MSCI멕시코(합성),ACE,MSCI_EM,GLOBAL,1.0,unhedged
438900,HANARO Fn K-푸드,HANARO,KR_CULTURE,KR,1.0,none
0090B0,PLUS K방산소부장,PLUS,KR_DEFENSE,KR,1.0,none
400570,KODEX 유럽탄소배출권선물ICE(H),KODEX,CARBON,COMMODITY,1.0,hedge
337120,KODEX 멀티팩터,KODEX,KOSPI200,KR,1.0,none
108590,TREX 200,TREX,KOSPI200,KR,1.0,none
300610,TIGER K게임,TIGER,KR_CULTURE,KR,1.0,none
0086C0,TIGER 리츠부동산인프라10채권혼합액티브,TIGER,KR_REIT,KR,1.0,none
0001P0,마이티 바이오시밀러&CDMO액티브,마이티,KR_BIO,KR,1.0,none
463640,KODEX 미국S&P500유틸리티,KODEX,SP500_UTILITIES,US,1.0,unhedged
289250,TIGER MSCI KOREA ESG유니버설,TIGER,KOSPI200,KR,1.0,none
265690,ACE 러시아MSCI(합성),ACE,MSCI_EM,GLOBAL,1.0,unhedged
332610,PLUS 미국단기회사채(AAA~A),PLUS,US_CORPORATE,US,1.0,unhedged
0094X0,1Q 샤오미밸류체인액티브,1Q,KR_GLOBAL_VALUECHAIN,GLOBAL,1.0,unhedged
367740,HANARO Fn5G산업,HANARO,KR_TECH,KR,1.0,none
474920,에셋플러스 차이나일등기업포커스10액티브,에셋플러스,CHINA,CHINA,1.0,unhedged
483330,ACE 마이크로소프트밸류체인액티브,ACE,KR_GLOBAL_VALUECHAIN,GLOBAL,1.0,unhedged
464600,SOL 자동차소부장Fn,SOL,KR_AUTO,KR,1.0,none
289260,TIGER MSCI KOREA ESG리더스,TIGER,KOSPI200,KR,1.0,none
354350,HANARO 글로벌럭셔리S&P(합성),HANARO,MSCI_WORLD,GLOBAL,1.0,unhedged
442550,RISE TDF2030액티브,RISE,TDF,KR,1.0,none
292050,RISE KRX300,RISE,KRX300,KR,1.0,none
195920,TIGER 일본TOPIX(합성 H),TIGER,JAPAN_TOPIX,JAPAN,1.0,hedge
